
COLUMN 1: the catalog number to search for, in regular expression format.  The catalog itself should be
in one captured group, the id number and/or coordinate in the other
COLUMN 2: not used by the algorithm, but a human-readable reminder of what format the catalog number is in
COLUMN 3: word, phrase, or multiple phrases to use in the extended search fields (.x) of each of the "words"
indexed when the catalog number in Column 1 is found in the text. 
https://lambda.gsfc.nasa.gov/product/lss/
https://heasarc.gsfc.nasa.gov/docs/cgro/db-perl/W3Browse/w3table.pl?MissionHelp=galaxy_catalog
https://ned.ipac.caltech.edu/level5/CATALOGS/pgc.html
http://cds.u-strasbg.fr/cgi-bin/Dic-Simbad?/542196
http://cdsweb.u-strasbg.fr/cgi-bin/Dic-Simbad?4C

Index or Substitute?  INDEX
(ulas2massj?)([0-9]+)                                                HHMM+DDMM                 near_infrared_catalog|low_mass_star_catalog|brown_dwarf_star_catalog
(uzcj?)([0-9]+)                                                      HHMMSS.s+DDMMSS           galaxy_catalog
vcc[0-9]+                                                            NNNN                      *virgo_galaxy_cluster_catalog
vgs[0-9]+                                                            NNNN                      void_galaxy_catalog|isolated_galaxy_catalog
vv[0-9]+                                                             NNNN                      galaxy_catalog
wbl[0-9]+                                                            NNN                       galaxy_catalog
(wisej?)([0-9]+)                                                     HHMMDDSS.ss+DDMMSS.s      mid_infrared_catalog|*wise_catalog|near_infrared_catalog
(?:(?:[iv]+zwicky)|(?:zwicky[iv]+)|(?:zwick[0-9]+))(?:[0-9]+)        NNN                       compact_galaxy_catalog|pos_eruptive_galaxy_catalog
(?:(?:[iv]+zg)|(?:zg[iv]+)|(?:zg))(?:[0-9]+)                         NNN                       compact_galaxy_catalog|pos_eruptive_galaxy_catalog
(?:(?:[iv]+zw)|(?:zw[iv]+)|(?:zw))(?:[0-9]+)                         NNN                       compact_galaxy_catalog|pos_eruptive_galaxy_catalog
